price,location_id,product_id,date,currency
27.7,1,1,2023-11-27,EUR
27.7,1,2,2023-11-27,EUR
26.38,1,3,2023-11-27,EUR
39.57,1,4,2023-11-27,EUR
59.36,1,5,2023-11-27,EUR
46.17,1,6,2023-11-27,EUR
11.87,1,7,2023-11-27,EUR
9.89,1,8,2023-11-27,EUR
7.65,1,9,2023-11-27,EUR
3.3,1,10,2023-11-27,EUR
3.3,1,11,2023-11-27,EUR
4.75,1,12,2023-11-27,EUR
2.93,1,13,2023-11-27,EUR
2.06,1,14,2023-11-27,EUR
3.1,1,15,2023-11-27,EUR
3.43,1,16,2023-11-27,EUR
6.6,1,17,2023-11-27,EUR
8.71,1,18,2023-11-27,EUR
6.6,1,19,2023-11-27,EUR
5.0,1,20,2023-11-27,EUR
0.53,1,21,2023-11-27,EUR
2.84,1,22,2023-11-27,EUR
3.94,1,23,2023-11-27,EUR
1.91,1,24,2023-11-27,EUR
1.09,1,25,2023-11-27,EUR
1.24,1,26,2023-11-27,EUR
1.17,1,27,2023-11-27,EUR
1.13,1,28,2023-11-27,EUR
1.19,1,29,2023-11-27,EUR
1.75,1,30,2023-11-27,EUR
1.7,1,31,2023-11-27,EUR
1.7,1,32,2023-11-27,EUR
2.1,1,33,2023-11-27,EUR
3.94,1,34,2023-11-27,EUR
5.0,1,35,2023-11-27,EUR
10.51,1,36,2023-11-27,EUR
4.13,1,37,2023-11-27,EUR
20.67,1,38,2023-11-27,EUR
4.74,1,39,2023-11-27,EUR
4.87,1,40,2023-11-27,EUR
5.66,1,41,2023-11-27,EUR
5.18,1,42,2023-11-27,EUR
5.18,1,43,2023-11-27,EUR
5.18,1,44,2023-11-27,EUR
2.35,1,45,2023-11-27,EUR
5.55,1,46,2023-11-27,EUR
5.18,1,47,2023-11-27,EUR
3.96,1,48,2023-11-27,EUR
4.3,1,49,2023-11-27,EUR
4.3,1,50,2023-11-27,EUR
3.94,1,51,2023-11-27,EUR
4.84,1,52,2023-11-27,EUR
2.64,1,53,2023-11-27,EUR
3.94,1,54,2023-11-27,EUR
3.9,1,55,2023-11-27,EUR
4.21,1,56,2023-11-27,EUR
2.95,1,57,2023-11-27,EUR
3.89,1,58,2023-11-27,EUR
4.67,1,59,2023-11-27,EUR
4.3,1,60,2023-11-27,EUR
3.75,1,61,2023-11-27,EUR
3.75,1,62,2023-11-27,EUR
6.75,1,63,2023-11-27,EUR
3.26,1,64,2023-11-27,EUR
5.49,1,65,2023-11-27,EUR
6.28,1,66,2023-11-27,EUR
